INSEE_COM;maille;PoidsGeoSafran
17184;6197;0.33502000450711
17184;6198;0.261986900410754
17184;6276;0.05949956976389
17184;6277;0.343493525318288
17197;6603;0.247623061152646
17197;6604;0.212885183979946
17197;6686;0.340544029600033
17197;6687;0.198947725267444
17225;6274;0.24687698353577
17225;6275;0.163803110600454
17225;6354;0.440592771981033
17225;6355;0.148727133882223
17308;6114;0.278339763570204
17308;6115;0.378188744937202
17308;6197;0.112622310069187
17308;6198;0.230849181424266
17140;6025;0.00899820578432376
17140;6026;0.212683665250625
17140;6111;0.19870937616451
17140;6112;0.579608752800371
17257;6035;0.427851673961221
17257;6036;0.520807548420786
17257;6121;0.0403522052280273
17257;6122;0.0109885723899598
17394;5761;0.00173772145677892
17394;5762;0.124947904383127
17394;5850;0.507551294096419
17394;5851;0.365763080063514
17058;6112;0.00111316870640014
17058;6113;0.195526246801377
17058;6195;0.0260736425854627
17058;6196;0.77728694190631
17452;6195;0.113623668954902
17452;6196;0.0674004221383984
17452;6274;0.63694496304055
17452;6275;0.156134799228033
17452;6354;0.0258961466379856
17023;6203;1
17173;6855;2.3531086560867e-05
17173;6856;0.179715181402776
17173;6937;0.00443404236019219
17173;6938;0.768923332270303
17173;6939;0.0469039128802168
17283;6440;0.333391775917189
17283;6441;0.0239537041250216
17283;6520;0.584705146571476
17283;6521;0.0579493733864129
17365;6854;0.0187010043249749
17365;6855;0.100884153031383
17365;6936;0.19524032275589
17365;6937;0.685174519887661
17074;6853;0.0753784656969818
17074;6934;0.0265454103752296
17074;6935;0.881132155076775
17074;7016;0.0169439688505467
17408;6198;0.0263187827840001
17408;6199;0.927511156709659
17408;6278;0.0461700605065497
17104;6771;0.19645466012506
17104;6772;0.078065733622114
17104;6854;0.385015371145472
17104;6855;0.340464235107244
17189;6113;0.171583608262615
17189;6114;0.0592314914771526
17189;6196;0.17974478315371
17189;6197;0.5894401171066
17397;6117;0.59997016132689
17397;6118;0.197290916966105
17397;6200;0.175981818621302
17397;6201;0.0267571030857965
17382;5761;0.881096865499322
17382;5762;0.0601466720027157
17382;5850;0.0587564624981339
17234;5851;0.172638625660089
17234;5852;0.193303042603078
17234;5942;0.317320431387456
17234;5943;0.316737900349477
17158;5667;0.00845152740516506
17158;5668;0.758950864084989
17158;5760;0.23259760851014
17285;6200;0.862197155384268
17285;6201;0.0858548073558506
17285;6279;0.0462579459530819
17285;6280;0.00569009130695848
17277;5943;0.127680161301716
17277;6032;0.00540096421195903
17277;6033;0.866918874486054
17177;6121;0.694669950791279
17177;6122;0.305330049208688
17449;6029;0.614500741474637
17449;6030;0.384264538369446
17449;6115;0.00123472015581286
17185;6276;0.524089853413355
17185;6277;0.247780933052343
17185;6356;0.101278351712363
17185;6357;0.126850861821969
17442;6438;1
17269;6854;0.258847141619563
17269;6936;0.741152858380442
17354;6440;0.960332377796958
17354;6441;0.039667622202882
17439;5575;0.93626136395133
17439;5668;0.0637386360488076
17073;6201;0.29102283677083
17073;6279;0.000490736187930149
17073;6280;0.708486427041302
17324;6685;1
17300;5757;0.535204421461723
17300;5846;0.0527364723576404
17300;5756;0.412059106180685
17138;5853;0.0309732171022828
17138;5944;0.969026782897762
17038;6935;0.525333399199056
17038;6936;0.429541193340389
17038;7016;0.0407786697283826
17038;7017;0.00434673773226068
17260;6854;0.0211141135821841
17260;6855;0.966180958742056
