INSEE_COM;CODE_DEPT;CODE_REG;maille;PoidsComSafran
01135;01;82;5640;0.168436738206303
01135;01;82;5641;0.552362594223809
01135;01;82;5733;0.0055625247027436
01135;01;82;5734;0.273638142866817
01163;01;82;5538;0.0172636888250374
01163;01;82;5539;0.498507402070243
01163;01;82;5632;0.0486111455168418
01163;01;82;5633;0.435617763587853
01453;01;82;6179;0.528052847348681
01453;01;82;6180;0.471947152651315
01241;01;82;5727;0.635836165574769
01241;01;82;5728;0.299959350760284
01241;01;82;5819;0.0512901635948493
01241;01;82;5820;0.0129143200700808
01235;01;82;5997;1
01392;01;82;5637;0.0783259839151112
01392;01;82;5729;0.000597905571035528
01392;01;82;5730;0.921076110514027
01249;01;82;6172;0.00817948950901121
01249;01;82;6254;0.0695942567173836
01249;01;82;6255;0.922019086423381
01249;01;82;6334;0.000207167350662825
01074;01;82;5997;0.0035035751259579
01074;01;82;5998;0.267155815140274
01074;01;82;6087;0.00560446947448654
01074;01;82;6088;0.723736140259376
01095;01;82;5635;0.0499173768130185
01095;01;82;5728;0.950082623186941
01034;01;82;6341;0.977613288329936
01034;01;82;6421;0.0223867116703058
01085;01;82;5905;0.171432386948719
01085;01;82;5906;0.0274089392110314
01085;01;82;5996;0.440268895290591
01085;01;82;5997;0.360889778549323
01236;01;82;5631;0.164682050703795
01236;01;82;5632;0.835317949296283
01189;01;82;5912;0.0124996286776251
01189;01;82;6003;0.367404698112641
01189;01;82;6004;0.620095673209619
01037;01;82;6177;0.0100334595204276
01037;01;82;6260;0.989966540479217
01084;01;82;5816;0.596054164188726
01084;01;82;5817;0.395529425563762
01084;01;82;5906;0.00841641024756216
01079;01;82;6093;0.517078850161559
01079;01;82;6179;0.482921149838659
01124;01;82;5443;0.213503888951158
01124;01;82;5539;0.78437229321159
01124;01;82;5540;0.00212381783732795
01232;01;82;5539;0.0870855025883224
01232;01;82;5540;0.0315085068762639
01232;01;82;5633;0.44928070178053
01232;01;82;5634;0.346032401305627
01232;01;82;5726;0.0823429936902602
01232;01;82;5727;0.00374989375911963
01066;01;82;6177;0.141157908425319
01066;01;82;6178;0.260556840848617
01066;01;82;6260;0.0150780689931682
01066;01;82;6261;0.583207181733235
01274;01;82;5822;0.193869899403062
01274;01;82;5823;0.00715979786501624
01274;01;82;5911;0.798970302731548
01052;01;82;5996;0.483936244843917
01052;01;82;5997;0.0824559145738483
01052;01;82;6086;0.400515432646119
01052;01;82;6087;0.0330924079363118
01078;01;82;5825;0.281742664601519
01078;01;82;5826;0.718257335398534
01288;01;82;5733;0.0596985365329893
01288;01;82;5825;0.940301463466671
01038;01;82;5634;0.82793709977107
01038;01;82;5727;0.172062900228935
01010;01;82;6094;0.163813440068917
01010;01;82;6180;0.836186559931119
01212;01;82;5538;0.46704592800465
01212;01;82;5539;0.532954071995255
01346;01;82;5631;0.0867723626757566
01346;01;82;5632;0.326493320616777
01346;01;82;5724;0.133945570109839
01346;01;82;5725;0.452788746597302
01338;01;82;6420;1
01179;01;82;5722;0.0809928402604044
01179;01;82;5723;0.874910786129411
01179;01;82;5815;0.0440963736097696
01336;01;82;5817;0.0454270333202273
01336;01;82;5818;0.193520375571322
01336;01;82;5906;0.321788588066242
01336;01;82;5907;0.439264003042391
01443;01;82;5997;0.038562180395021
01443;01;82;6086;0.108770602018066
01443;01;82;6087;0.852667217586536
01151;01;82;5908;0.0300835371186204
01151;01;82;5999;0.96492527772203
01151;01;82;6000;0.0049911851596381
01344;01;82;5818;1
01125;01;82;5728;0.106749557738296
01125;01;82;5729;0.781866183913641
01125;01;82;5820;0.000324288134880811
01125;01;82;5821;0.111059970213221
01254;01;82;5819;0.818234406413936
01254;01;82;5908;0.181765593586009
01065;01;82;5817;0.249313998791639
01065;01;82;5818;0.750686001207791
01069;01;82;5907;0.00571733901898178
01069;01;82;5908;0.99428266098092
01130;01;82;5632;0.0059157505926907
01130;01;82;5633;0.808326121003843
01130;01;82;5725;0.00395566956528669
01130;01;82;5726;0.181802458837752
01366;01;82;6175;0.798017988723083
01366;01;82;6258;0.201982011276592
01426;01;82;5634;0.0371017822797499
01426;01;82;5635;0.122940155246371
01426;01;82;5727;0.287161591949182
01426;01;82;5728;0.552796470524613
01255;01;82;6260;0.70475003712036
01255;01;82;6339;0.295249962879935
01073;01;82;6179;0.0103013968617555
01073;01;82;6262;0.762442225124337
01073;01;82;6263;0.227256378013894
01405;01;82;5818;0.0137749466324051
01405;01;82;5907;0.986225053367742
01209;01;82;5914;1
01411;01;82;6176;0.473936336334169
01411;01;82;6177;0.409617775978033
01411;01;82;6259;0.0134767001933399
01411;01;82;6260;0.10296918749472
01354;01;82;5734;1
01143;01;82;5547;0.12266350205675
01143;01;82;5548;0.782389265475773
01143;01;82;5642;0.0949472324672815
01202;01;82;6175;0.352709761787461
01202;01;82;6176;0.485947079977894
01202;01;82;6258;0.150440607799087
01202;01;82;6259;0.0109025504355628
01088;01;82;6174;0.260663108210673
01088;01;82;6175;0.228123375016319
01088;01;82;6257;0.361040582580754
01088;01;82;6258;0.15017293419382
01040;01;82;5537;0.0394397185277591
01040;01;82;5538;0.0159297782058802
01040;01;82;5631;0.490708610165592
01040;01;82;5632;0.453921893100414
01145;01;82;5907;0.0868043422993475
01145;01;82;5908;0.0159889953261662
01145;01;82;5998;0.694043449484087
01145;01;82;5999;0.203163212890507
01402;01;82;5440;0.078275965903137
01402;01;82;5441;0.921724034096698
01153;01;82;5640;0.00805979956310814
01153;01;82;5641;0.99194020043735
01446;01;82;5994;0.00418557694996229
01446;01;82;5995;0.642543472276589
01446;01;82;6084;0.0228708809420992
01446;01;82;6085;0.330400069831301
01375;01;82;5632;0.0107857585220617
01375;01;82;5725;0.877964248680387
01375;01;82;5726;0.111249992797417
01273;01;82;5908;0.0018595726736419
01273;01;82;5909;0.643065623923178
01273;01;82;5999;0.000153246741459357
01273;01;82;6000;0.354921556661581
01211;01;82;5907;0.945684576522666
01211;01;82;5908;0.0201159000813143
01211;01;82;5998;0.0341995233959772
01457;01;82;5724;0.0316629091269316
01457;01;82;5816;0.968337090872928
01367;01;82;5538;0.999508245191582
01367;01;82;5632;0.000491754808261557
01108;01;82;5540;0.782212209007821
01108;01;82;5541;0.161158101428026
01108;01;82;5634;0.0566296895638916
01005;01;82;6085;0.648942516133208
01005;01;82;6086;0.351057483867158
01414;01;82;6092;0.0747867926822641
01414;01;82;6093;0.373282502195618
01414;01;82;6178;0.194467863442805
01414;01;82;6179;0.357462841679526
01147;01;82;5444;0.0194946210155573
01147;01;82;5540;0.980505378984019
01127;01;82;5634;0.411063252763011
01127;01;82;5635;0.561184540888063
01127;01;82;5727;0.0277522063492391
01240;01;82;5729;0.60403141690553
01240;01;82;5730;0.326334787665279
